Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population
16076,"Greiz, Kreis",25.55597615,62.16666667,0.06084808859
14521,Erzgebirgskreis,28.90158049,195.5833333,0.05567273635
12071,"Spree-Nei�e, Landkreis",28.88464025,56.83333333,0.04779967311
5762,"H�xter, Kreis",8.925519211,59.91666667,0.04196197626
15087,"Mansfeld-S�dharz, Landkreis",23.89354412,46.58333333,0.0325198144
16075,Saale-Orla-Kreis,26.52155912,21.83333333,0.02609956886
15082,"Anhalt-Bitterfeld, Landkreis",22.39540968,40.08333333,0.02402674211
16077,"Altenburger Land, Kreis",27.46052584,19.75,0.02109930025
14625,"Bautzen, Landkreis",32.45078792,62.66666667,0.02032322577
16074,Saale-Holzland-Kreis,23.48283446,15.33333333,0.01825375095
9374,"Neustadt a.d.Waldnaab, Landkreis",13.94211443,17,0.01781093172
12062,"Elbe-Elster, Landkreis",24.19671212,18.75,0.01766251872
15081,Altmarkkreis Salzwedel,15.55090213,13.58333333,0.01573747953
16063,Wartburgkreis,22.54094058,16.83333333,0.0133298491
15090,"Stendal, Landkreis",17.68286837,14.33333333,0.01241292908
16061,"Eichsfeld, Kreis",18.18298617,8.916666667,0.008832667994
16066,"Schmalkalden-Meiningen, Kreis",21.62494323,10.16666667,0.008096155786
16065,Kyffh�userkreis,24.99059506,4.166666667,0.005365543766
9472,"Bayreuth, Landkreis",10.88182632,4,0.003822739566
15089,Salzlandkreis,20.40763401,2.416666667,0.001216147078
14626,"G�rlitz, Landkreis",32.88511579,2.416666667,0.0009218007791
16073,"Saalfeld-Rudolstadt, Kreis",26.98329463,-1.666666667,-0.001510934634
3354,"L�chow-Dannenberg, Landkreis",7.766956642,-2,-0.004109307582
5966,"Olpe, Kreis",7.723577236,-7.416666667,-0.005495984843
9673,"Rh�n-Grabfeld, Landkreis",10.37715064,-5.5,-0.006878009129
12066,"Oberspreewald-Lausitz, Landkreis",25.85379749,-8.333333333,-0.007320086904
7340,"S�dwestpfalz, Landkreis",12.87941589,-7.5,-0.007764055529
3255,"Holzminden, Landkreis",9.620641696,-7.166666667,-0.009970737046
16069,"Hildburghausen, Kreis",25.21853147,-6.833333333,-0.01050764752
14522,"Mittelsachsen, Landkreis",30.35709592,-39.16666667,-0.01245002771
15086,"Jerichower Land, Landkreis",18.97583983,-13.83333333,-0.0150819696
7333,Donnersbergkreis,13.66780432,-12.41666667,-0.01651328155
9677,"Main-Spessart, Landkreis",10.38869258,-24.66666667,-0.01953099225
14523,Vogtlandkreis,26.42108178,-46.41666667,-0.01983872576
16064,Unstrut-Hainich-Kreis,23.21860003,-21.66666667,-0.02078437015
9377,"Tirschenreuth, Landkreis",12.3046875,-15.83333333,-0.02155456026
15085,"Harz, Landkreis",16.46218776,-51.33333333,-0.02322323409
9477,"Kulmbach, Landkreis",11.42483945,-18.5,-0.02537792532
16068,"S�mmerda, Kreis",24.24603364,-19.08333333,-0.02694130325
9674,"Ha�berge, Landkreis",12.86002568,-22.66666667,-0.02695524636
15091,"Wittenberg, Landkreis",19.93544585,-35.41666667,-0.02736187724
9476,"Kronach, Landkreis",11.75693527,-18.83333333,-0.02750034071
9676,"Miltenberg, Landkreis",11.25569291,-35.66666667,-0.0278844074
5554,"Borken, Kreis",6.137097073,-102.25,-0.02806976125
3462,"Wittmund, Landkreis",8.603442579,-16.33333333,-0.02895981087
13071,Landkreis Mecklenburgische Seenplatte,19.5846911,-77.5,-0.02953371035
16062,"Nordhausen, Kreis",21.12309946,-25.91666667,-0.03035449364
7336,"Kusel, Landkreis",13.95686103,-22.75,-0.03199808715
7135,"Cochem-Zell, Landkreis",8.525595285,-20.16666667,-0.03246509332
10046,"St. Wendel, Landkreis",8.254967001,-28.75,-0.03246533267
3155,"Northeim, Landkreis",9.517527095,-43.91666667,-0.03261275846
12073,"Uckermark, Landkreis",20.79071853,-40.25,-0.03317508201
9475,"Hof, Landkreis",12.38904408,-32.58333333,-0.0335578534
9371,"Amberg-Sulzbach, Landkreis",13.02439554,-34.91666667,-0.03387533875
6437,Odenwaldkreis,13.07024438,-32.75,-0.03404330516
13075,Landkreis Vorpommern-Greifswald,22.71570393,-84.41666667,-0.0354416385
5958,Hochsauerlandkreis,7.99403196,-113.8333333,-0.04344800298
14628,"S�chsische Schweiz-Osterzgebirge, Landkreis",35.46493927,-117.3333333,-0.04770830707
7233,"Vulkaneifel, Landkreis",8.219844358,-29,-0.0477248416
7132,"Altenkirchen (Westerwald), Landkreis",10.93099088,-61.5,-0.04790727022
3461,"Wesermarsch, Landkreis",8.324554255,-43.66666667,-0.04915701351
14627,"Mei�en, Landkreis",32.87655802,-120.25,-0.04934021566
15088,Saalekreis,23.99648132,-104.8333333,-0.05585451187
9671,"Aschaffenburg, Landkreis",11.47091723,-96.66666667,-0.05594427179
5558,"Coesfeld, Kreis",6.218353408,-121.3333333,-0.05636018494
5770,"Minden-L�bbecke, Kreis",10.5652679,-181.0833333,-0.05853558144
1051,"Dithmarschen, Landkreis",8.567697221,-79.25,-0.05973693137
9672,"Bad Kissingen, Landkreis",11.39387459,-62,-0.06027317358
9473,"Coburg, Landkreis",11.99099165,-53.5,-0.06169351584
6635,"Waldeck-Frankenberg, Landkreis",12.43671991,-101.8333333,-0.06502476475
3456,"Grafschaft Bentheim, Landkreis",5.253278271,-87.75,-0.06564281333
5374,Oberbergischer Kreis,10.58671001,-178.75,-0.06613267231
